,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
28,Oscar Vanegas,Boyacá Patriot,2020-10-25,Sun,Primera A,First stage,Home,W 2–1,Boyacá Patriot,Nacional,Y,CB,90,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,,,Match Report
29,Oscar Vanegas,Boyacá Patriot,2020-11-03,Tue,Primera A,First stage,Away,D 0–0,Boyacá Patriot,Alianza,Y,CB,90,0,0,0,0,2,1,1,0,2,1,0,0,0,2,0,,,Match Report
30,Oscar Vanegas,Boyacá Patriot,2020-11-10,Tue,Primera A,First stage,Away,L 0–1,Boyacá Patriot,La Equidad,Y,CB,90,0,0,0,0,0,0,0,0,1,0,2,2,1,2,0,,,Match Report
31,Oscar Vanegas,Boyacá Patriot,2020-11-14,Sat,Primera A,First stage,Home,W 2–0,Boyacá Patriot,Jaguares,Y,CB,90,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,Match Report
32,Oscar Vanegas,Boyacá Patriot,2020-11-30,Mon,Primera A,Liguilla,Away,W 3–1,Boyacá Patriot,Boyacá Chicó,Y,CB,90,2,0,1,1,3,2,1,0,1,1,0,0,0,0,0,,,Match Report
33,Oscar Vanegas,Boyacá Patriot,2020-12-04,Fri,Primera A,Liguilla,Home,L 2–3,Boyacá Patriot,Millonarios,Y*,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
34,Oscar Vanegas,Boyacá Patriot,2020-12-09,Wed,Primera A,Liguilla,Away,L 0–2,Boyacá Patriot,Once Caldas,Y,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Match Report
35,Santiago Orozco,Boyacá Patriot,2020-01-26,Sun,Primera A,First stage,Home,D 1–1,Boyacá Patriot,Cúcuta,Y,LW,58,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,,,Match Report
36,Santiago Orozco,Boyacá Patriot,2020-02-07,Fri,Primera A,First stage,Away,L 1–3,Boyacá Patriot,Independiente,N,,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Match Report
37,Santiago Orozco,Boyacá Patriot,2020-02-16,Sun,Primera A,First stage,Home,L 0–2,Boyacá Patriot,Santa Fe,N,,36,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,,,Match Report
38,Santiago Orozco,Boyacá Patriot,2020-02-23,Sun,Primera A,First stage,Away,D 0–0,Boyacá Patriot,Once Caldas,Y,CM,90,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,,,Match Report
39,Santiago Orozco,Boyacá Patriot,2020-09-19,Sat,Primera A,First stage,Home,L 0–1,Boyacá Patriot,Envigado,Y,RB,90,0,0,0,0,1,0,1,0,1,0,0,6,4,2,0,,,Match Report
40,Santiago Orozco,Boyacá Patriot,2020-09-26,Sat,Primera A,First stage,Away,D 1–1,Boyacá Patriot,CA Bucaramanga,Y,RB,90,0,0,0,0,2,0,1,0,3,3,0,1,0,2,0,,,Match Report
41,Santiago Orozco,Boyacá Patriot,2020-10-04,Sun,Primera A,First stage,Home,D 0–0,Boyacá Patriot,Junior,Y,RB,90,0,0,0,0,0,0,0,0,2,3,0,0,1,5,0,,,Match Report
42,Santiago Orozco,Boyacá Patriot,2020-10-08,Thu,Primera A,First stage,Away,L 0–3,Boyacá Patriot,Rionegro,N,,18,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,,,Match Report
