,Name,Team,Comp,avg_goal,w_percentage,l_percentage,Min_sd,Gls_sd,Ast_sd,PK_sd,PKatt_sd,Sh_sd,SoT_sd,CrdY_sd,CrdR_sd,Fls_sd,Fld_sd,Off_sd,Crs_sd,TklW_sd,Int_sd,OG_sd,Min_n,Gls_n,Ast_n,PK_n,PKatt_n,CrdY_n,CrdR_n,Sh_n,SoT_n,Fls_n,Fld_n,Off_n,Crs_n,Int_n,TklW_n,OG_n,competition,position,min_norm,group_min
73,Daniel Rosero,Junior,1,0.085,0.404,0.34,7.132,0.305,0.0,0.0,0.0,0.918,0.479,0.479,0.2,1.172,0.905,0.242,0.0,1.19,1.397,0.0,2.052,5.714,0.0,1e-05,1e-05,2.24,2.703,1.569,0.0,1.614,2.062,3.75,0.0,1.48,2.347,0.0,10,D,0.475,3
74,Sherman Cárdenas,Junior,1,-0.237,0.289,0.421,7.516,0.365,0.307,0.223,0.223,1.614,0.978,0.388,0.0,0.666,1.291,0.223,2.575,0.638,0.779,0.0,2.383,3.0,3.733,9.333,9.333,3.547,4.2,1.719,0.0,1.175,3.411,0.683,5.39,1.813,1.014,1e-05,14,M,0.433,3
75,Carmelo Valencia,Junior,1,-0.244,0.244,0.39,26.516,0.585,0.154,0.154,0.215,1.238,0.862,0.353,0.0,1.637,1.021,1.024,0.455,0.62,0.396,0.0,0.831,1.636,0.0,2.0,1.2,0.79,1.079,0.621,1e-05,1.062,0.531,1.333,0.158,0.594,0.37,1e-05,6,A,0.377,4
76,Fredy Hinestroza,Junior,1,-0.105,0.368,0.289,14.236,0.354,0.338,0.0,0.0,1.568,1.113,0.518,0.223,1.515,1.822,0.521,2.535,0.809,0.465,0.0,2.021,2.118,2.25,0.0,0.0,3.734,3.758,1.818,12.0,1.693,2.571,3.692,4.0,1.546,0.873,0.0,12,M,0.605,1
77,Michael Rangel,Junior,1,0.183,0.483,0.317,18.218,0.645,0.401,0.3,0.321,1.971,0.966,0.433,0.0,1.408,1.578,0.737,0.3,0.551,0.44,0.0,1.845,3.214,2.143,6.0,4.0,1.909,1.871,1.8,0.0,1.727,1.841,2.0,0.167,0.787,0.806,1e-05,6,A,0.409,2
78,Róger Torres,Junior,1,-0.026,0.385,0.436,27.748,0.266,0.303,0.221,0.221,1.136,0.66,0.426,0.158,0.833,1.106,0.0,3.708,0.514,0.492,0.0,1.49,1.8,2.857,10.0,10.0,1.89,2.692,1.19,3.75,1.138,1.325,0.0,3.428,0.933,0.738,0.0,15,M,0.17,3
79,Luis Carlos Ruiz,Junior,1,0.483,0.483,0.379,34.344,0.496,0.249,0.18,0.18,1.556,0.92,0.34,0.0,1.086,1.389,0.34,0.9,0.496,0.4,0.0,0.926,1.029,1.333,0.75,0.667,0.818,1.103,0.857,0.0,1.107,1.462,0.321,0.529,0.769,0.6,1e-05,6,A,0.348,3
80,Teófilo Gutiérrez,AD Cali,1,0.5,0.525,0.225,22.617,0.414,0.297,0.0,0.0,1.0,0.83,0.376,0.215,1.25,1.036,1.042,0.963,0.904,0.297,0.0,1.227,1.167,0.0,0.0,0.0,0.624,0.824,2.258,0.0,1.352,0.953,5.793,0.794,0.667,0.0,0.0,14,AM,0.351,2
81,Harold Preciado,AD Cali,0,0.1,0.4,0.4,14.412,0.433,0.3,0.218,0.218,1.314,0.6,0.218,0.0,1.166,1.396,0.477,1.117,0.669,0.433,0.0,1.456,0.75,2.0,0.8,0.8,1.636,1.744,0.0,0.0,1.351,1.299,0.0,1.116,1.4,2.0,1e-05,4,A,0.286,3
82,Gastón Rodríguez Maeso,AD Cali,0,-0.136,0.455,0.409,27.259,0.516,0.0,0.0,0.208,2.269,0.819,0.386,0.0,0.862,1.095,0.582,1.024,0.783,0.643,0.0,1.431,2.241,0.0,0.0,3.25,1.94,1.893,1.857,1e-05,1.01,1.156,3.095,0.532,1.474,1.169,1e-05,13,A,0.248,3
83,Yeison Tolosa,AD Cali,1,0.5,0.5,0.0,13.952,0.0,0.0,0.0,0.0,0.471,0.0,0.0,0.0,0.471,0.471,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.625,0.0,0.0,0.198,0.217,0.417,0.0,0.432,0.707,0.441,0.362,0.179,0.469,1e-05,5,A,0.239,3
84,Jhon Vasquez,AD Cali,1,-0.075,0.3,0.325,18.215,0.608,0.156,0.399,0.421,1.939,1.03,0.458,0.218,1.216,2.174,0.773,2.799,0.4,0.3,0.0,1.865,5.357,1.364,11.25,9.0,3.792,3.167,1.824,5.0,1.6,3.364,4.138,3.523,0.561,0.405,1e-05,15,AM,0.752,1
85,Juan Daniel Roa,AD Cali,1,-0.071,0.25,0.357,30.511,0.0,0.258,0.0,0.0,0.824,0.258,0.488,0.186,1.145,1.18,0.0,1.839,1.348,1.771,0.0,1.377,0.0,2.24,0.0,0.0,0.966,0.491,2.333,0.0,1.826,1.92,0.0,1.674,2.756,1.6,0.0,28,DM,0.439,3
86,Jhojan Valencia,AD Cali,1,-0.447,0.289,0.447,23.216,0.223,0.0,0.0,0.0,1.104,0.518,0.499,0.0,1.517,0.887,0.0,0.223,1.524,1.39,0.16,1.729,1.3,0.0,0.0,0.0,1.682,1.566,2.849,0.0,3.03,1.113,0.0,0.056,2.74,2.816,1e-05,13,M,0.375,3
87,Carlos Lizarazo,AD Cali,1,0.182,0.364,0.545,30.121,0.287,0.0,0.287,0.287,2.275,0.782,0.0,0.0,1.164,0.656,0.862,1.164,0.656,0.481,0.0,0.338,0.467,0.0,2.0,1.556,0.828,0.718,0.0,0.0,0.386,0.225,0.824,0.358,0.318,0.316,1e-05,14,M,0.315,4
88,Jhon Mosquera,AD Cali,1,0.24,0.48,0.36,30.267,0.192,0.319,0.0,0.0,1.141,0.617,0.192,0.0,1.317,1.55,0.361,2.746,0.901,1.063,0.0,1.381,0.0,3.107,0.0,0.0,1.758,2.297,0.0,0.0,1.415,2.379,3.625,4.392,1.136,1.149,1e-05,29,DM,0.697,1
89,Ezequiel Palomeque,AD Cali,1,0.6,0.533,0.333,26.185,0.0,0.249,0.0,0.0,1.143,0.4,0.596,0.249,1.36,0.573,0.249,0.249,1.275,2.059,0.0,0.958,0.0,1.036,0.0,0.0,0.639,0.574,1.543,9.667,1.111,0.257,0.906,0.056,1.136,1.696,1e-05,29,DM,0.629,1
90,Juan Camilo Angulo,AD Cali,1,-0.123,0.351,0.368,6.66,0.281,0.305,0.0,0.0,0.912,0.578,0.492,0.13,1.174,1.133,0.357,2.771,0.984,1.432,0.13,1.573,1.333,2.667,1e-05,1e-05,3.01,4.0,1.674,2.0,1.818,2.837,2.133,5.424,1.569,1.72,8.0,8,D,0.515,2
91,Macnelly Torres,AD Cali,1,0.53,0.53,0.288,20.065,0.32,0.352,0.0,0.0,1.178,0.602,0.337,0.0,1.072,1.173,0.168,2.878,0.826,0.878,0.0,1.81,0.836,2.156,0.0,0.0,1.372,0.994,1.89,0.0,1.181,1.569,0.333,4.212,1.61,1.523,1e-05,23,AM,0.25,3
92,Leonardo Pico,Santa Fe,1,0.263,0.368,0.158,22.978,0.0,0.0,0.0,0.0,0.458,0.218,0.357,0.0,1.043,1.054,0.0,0.3,0.843,1.41,0.0,1.284,0.0,0.0,1e-05,1e-05,0.237,0.0,0.8,0.0,1.259,0.688,0.0,0.0,1.212,3.904,0.0,12,M,0.669,1
93,Johan Caballero,Santa Fe,1,-0.333,0.286,0.381,22.476,0.386,0.343,0.0,0.0,1.328,0.924,0.386,0.0,1.125,1.073,0.343,1.527,0.962,0.967,0.0,1.575,3.294,4.2,0.0,0.0,1.611,2.53,1.6,0.0,1.734,2.224,1.0,1.574,1.792,1.662,1e-05,14,AM,0.335,3
94,Neyder Moreno,Santa Fe,1,0.091,0.273,0.364,32.277,0.466,0.287,0.343,0.343,1.427,0.819,0.0,0.208,0.762,1.23,0.287,1.868,0.555,0.783,0.0,0.984,3.947,3.0,11.25,11.25,2.168,1.967,0.0,0.0,0.577,1.429,1.111,2.5,0.714,1.015,0.0,15,AM,0.149,4
95,Jeison Palacios,Santa Fe,1,-0.045,0.318,0.318,6.784,0.0,0.0,0.0,0.0,0.555,0.0,0.419,0.0,1.11,1.248,0.358,0.149,1.151,1.572,0.0,1.706,0.0,0.0,1e-05,1e-05,1.424,0.0,1.436,0.0,1.988,2.006,1.615,0.041,2.287,2.038,1e-05,7,D,0.842,1
96,Dairon Mosquera,Santa Fe,1,0.385,0.385,0.154,27.107,0.0,0.0,0.0,0.0,0.41,0.35,0.452,0.0,0.99,0.86,0.0,1.052,0.939,1.552,0.0,0.679,0.0,0.0,1e-05,1e-05,0.256,0.379,0.589,0.0,0.536,0.601,0.0,0.708,0.833,0.706,0.0,11,D,0.615,2
97,Kelvin Osorio,Santa Fe,1,-0.216,0.324,0.324,22.016,0.412,0.226,0.226,0.226,1.6,0.683,0.392,0.0,1.044,1.57,0.0,1.424,0.843,0.963,0.0,2.154,5.455,1.765,15.0,15.0,2.586,2.5,2.561,0.0,1.433,2.285,0.0,1.314,1.951,2.945,1e-05,15,M,0.565,2
98,Jonathan Herrera,Santa Fe,1,0.667,0.667,0.111,23.084,0.0,0.314,0.0,0.0,0.667,0.0,0.416,0.0,0.816,1.1,0.314,2.283,0.956,0.471,0.0,0.247,0.0,1.727,0.0,0.0,0.166,0.0,0.373,0.0,0.216,0.319,0.463,0.91,0.218,0.142,1e-05,19,DM,0.402,3
99,Mauricio Gómez Sánchez,Santa Fe,1,-0.29,0.258,0.387,27.905,0.331,0.415,0.174,0.174,0.788,0.514,0.363,0.0,0.866,0.857,0.384,1.521,0.5,0.749,0.0,1.456,2.0,3.176,3.6,3.6,1.087,1.694,1.304,0.0,1.088,0.725,0.9,2.068,0.754,1.36,1e-05,18,M,0.295,3
100,Patricio Cucchi,Santa Fe,1,0.429,0.357,0.143,26.003,0.41,0.0,0.0,0.0,1.493,0.61,0.41,0.0,0.479,0.479,0.627,0.824,0.35,0.258,0.0,0.351,0.444,0.0,0.0,0.0,0.32,0.309,0.9,1e-05,0.231,0.106,0.667,0.127,0.211,0.167,1e-05,6,A,0.285,4
101,Fainer Torijano,Santa Fe,1,0.12,0.44,0.32,21.207,0.0,0.0,0.0,0.0,0.457,0.189,0.516,0.262,0.999,0.687,0.0,0.0,0.886,1.562,0.0,0.847,0.0,0.0,1e-05,1e-05,0.478,0.0,0.727,4.0,0.459,0.602,0.0,0.0,0.619,1.003,1e-05,8,D,1.0,1
102,Andrés Pérez,Santa Fe,1,0.459,0.514,0.405,26.884,0.16,0.0,0.0,0.0,0.425,0.223,0.482,0.0,1.742,0.785,0.16,0.307,1.669,1.534,0.0,1.578,0.75,0.0,1e-05,1e-05,0.317,0.217,2.381,0.0,2.812,0.475,0.306,0.124,3.023,2.773,1e-05,15,M,0.623,1
103,Jhon Velásquez,Santa Fe,1,-0.214,0.357,0.286,27.949,0.249,0.249,0.0,0.0,1.289,0.596,0.442,0.0,1.062,0.833,0.34,1.376,0.806,0.718,0.0,0.504,0.613,0.905,0.0,0.0,0.758,0.725,1.018,0.0,0.792,0.537,0.543,0.798,0.541,0.704,1e-05,19,AM,0.636,1
104,Federico Arbeláez,Santa Fe,1,-0.372,0.372,0.395,23.302,0.151,0.211,0.0,0.0,0.422,0.321,0.347,0.211,1.49,1.296,0.211,2.032,1.184,1.09,0.0,1.706,0.92,2.091,0.0,0.0,0.5,0.611,1.322,4.6,2.371,1.882,0.46,3.566,2.952,1.87,0.0,23,DM,0.374,2
105,Tomás Maya,Santa Fe,1,-0.909,0.091,0.636,27.715,0.0,0.208,0.0,0.0,0.343,0.0,0.386,0.0,1.0,0.5,0.287,2.449,1.23,1.293,0.0,0.24,0.0,0.0,1e-05,1e-05,0.0,0.0,0.317,0.0,0.127,0.084,0.0,0.0,0.148,0.132,1e-05,13,D,0.089,4
106,Arley Rodríguez,Santa Fe,1,0.5,0.577,0.269,36.041,0.416,0.0,0.189,0.189,0.739,0.457,0.388,0.0,1.458,1.297,0.448,1.048,0.314,0.314,0.0,0.648,2.091,0.0,2.875,2.556,0.331,0.568,0.945,0.0,0.821,0.92,0.333,0.426,0.153,0.152,1e-05,23,AM,0.368,3
107,Luis Manuel Seijas,Santa Fe,0,-0.818,0.273,0.636,12.359,0.0,0.282,0.0,0.0,1.251,0.412,0.0,0.204,1.072,1.076,0.204,2.701,0.651,1.137,0.0,0.875,0.0,1.444,0.0,0.0,1.0,0.637,0.0,0.0,0.897,1.112,0.394,2.541,0.598,0.672,1e-05,13,M,0.323,3
108,Armando Vargas,Santa Fe,1,-0.625,0.188,0.562,24.529,0.0,0.0,0.0,0.0,0.95,0.39,0.433,0.0,0.935,1.09,0.39,3.206,0.609,0.682,0.0,0.231,0.0,0.0,0.0,0.0,0.197,0.156,0.273,0.0,0.09,0.214,0.789,0.603,0.119,0.0,1e-05,15,M,0.279,4
109,Brayan Fernández,Santa Fe,1,-0.655,0.207,0.586,23.611,0.378,0.0,0.0,0.0,1.488,0.856,0.485,0.0,1.501,1.094,0.72,0.676,0.725,0.649,0.0,1.219,2.576,0.0,0.0,0.0,1.78,1.406,1.722,0.0,1.52,0.913,3.477,0.447,0.493,0.333,1e-05,17,AM,0.219,4
110,Jorge Aguirre,Santa Fe,1,0.2,0.533,0.4,30.225,0.0,0.249,0.0,0.0,1.062,0.573,0.0,0.0,0.998,0.712,0.499,1.5,1.327,0.611,0.0,0.488,0.0,0.0,0.0,0.0,0.331,0.327,0.0,1e-05,0.612,0.321,0.493,0.479,0.811,0.469,1e-05,18,AM,0.148,4
111,Daniel Mantilla,La Equidad,1,-0.522,0.174,0.478,16.7,0.204,0.337,0.0,0.0,1.096,0.714,0.379,0.0,0.806,1.76,0.282,1.142,0.507,0.46,0.0,1.865,1.3,4.333,0.0,0.0,1.795,2.364,1.677,0.0,1.938,3.25,0.684,1.201,0.765,0.835,1e-05,13,AM,0.981,1
112,Diego Herazo,La Equidad,1,-0.458,0.25,0.417,23.007,0.49,0.196,0.367,0.367,1.699,0.88,0.367,0.0,1.209,0.977,1.129,0.546,0.271,0.325,0.0,1.671,3.077,0.625,5.0,5.0,2.262,1.63,1.667,0.0,1.728,1.212,3.824,0.58,0.357,0.469,1e-05,5,A,0.0,4
113,Larry Angulo,La Equidad,1,0.0,0.343,0.457,17.616,0.493,0.393,0.0,0.0,1.362,0.826,0.585,0.229,1.35,1.032,0.276,0.546,1.104,1.43,0.0,1.264,0.762,0.0,0.0,0.0,1.158,1.315,4.114,8.0,2.182,0.612,0.0,0.108,1.495,2.233,0.0,16,M,0.308,3
114,Ederson Moreno,La Equidad,1,0.033,0.333,0.233,27.996,0.249,0.0,0.0,0.0,1.193,0.458,0.373,0.0,1.345,0.912,0.18,0.823,0.892,0.716,0.0,0.853,1.429,0.0,0.0,0.0,0.844,1.111,1.154,0.0,1.592,1.181,0.556,0.338,1.2,1.0,1e-05,10,M,0.272,2
115,Carlos Mario Arboleda,La Equidad,1,0.532,0.447,0.17,7.043,0.0,0.279,0.0,0.0,0.447,0.144,0.411,0.144,1.021,1.36,0.476,1.873,0.806,1.465,0.0,1.628,0.0,3.0,1e-05,1e-05,1.14,0.538,0.56,1e-05,1.388,2.944,4.667,2.288,1.658,1.695,1e-05,7,D,0.263,3
116,Carlos Mario Rodríguez,La Equidad,1,0.125,0.425,0.375,31.586,0.331,0.218,0.0,0.0,1.687,0.972,0.218,0.0,0.859,1.603,0.399,1.311,0.572,0.38,0.0,0.957,1.0,0.812,0.0,0.0,1.519,1.978,0.224,0.0,0.579,1.61,0.0,1.202,0.444,0.286,1e-05,13,M,0.307,3
117,Alex Rambal,La Equidad,1,0.455,0.545,0.182,29.774,0.287,0.0,0.0,0.0,0.698,0.359,0.521,0.171,1.108,0.477,0.171,0.0,0.888,1.632,0.0,1.335,3.0,0.0,0.0,0.0,1.37,1.667,1.525,2.5,1.286,0.305,0.0,0.0,1.405,2.091,1e-05,10,D,0.228,4
118,Brayhan Torres,La Equidad,1,0.0,0.286,0.429,14.36,0.0,0.0,0.0,0.0,0.7,0.0,0.35,0.0,1.03,0.7,0.0,1.641,0.0,0.7,0.0,0.314,0.0,0.0,0.0,0.0,0.083,0.0,1.043,1e-05,0.597,0.39,0.0,0.0,0.122,0.176,1e-05,12,D,0.161,4
119,Danilo Arboleda,La Equidad,1,-0.25,0.312,0.406,12.203,0.291,0.0,0.0,0.0,0.545,0.291,0.291,0.0,0.926,0.701,0.174,0.242,1.096,1.637,0.0,1.852,3.0,0.0,0.0,0.0,1.459,1.0,0.771,1e-05,1.264,1.083,1.125,0.054,2.338,1.982,1e-05,9,D,0.771,1
120,Cristian Palomeque,La Equidad,1,-0.588,0.235,0.471,30.829,0.322,0.0,0.0,0.0,1.678,1.262,0.513,0.235,0.9,0.9,0.381,3.104,0.478,0.6,0.0,0.852,1.2,0.0,0.0,0.0,1.402,2.5,0.714,3.75,0.801,0.71,1.125,1.344,0.466,0.574,0.0,15,M,0.316,3
121,Matías Mier,La Equidad,1,0.412,0.441,0.324,26.923,0.28,0.167,0.0,0.0,1.298,0.59,0.377,0.0,0.943,0.769,0.167,1.54,0.483,0.622,0.0,0.379,0.909,0.0,0.0,0.0,0.736,0.992,0.769,1e-05,0.547,0.36,0.357,0.638,0.234,0.503,1e-05,15,M,0.346,3
122,Mariano Vázquez,La Equidad,1,0.389,0.5,0.333,20.785,0.0,0.223,0.0,0.0,0.939,0.307,0.365,0.0,1.071,1.293,0.0,0.788,1.039,0.365,0.0,0.302,0.0,0.778,0.0,0.0,0.372,0.0,0.618,0.0,0.252,0.676,0.0,0.185,0.717,0.072,1e-05,21,M,0.244,4
123,Juan Guillermo Arboleda,Independiente,1,0.15,0.4,0.35,19.476,0.0,0.0,0.0,0.0,0.357,0.0,0.433,0.0,1.108,0.477,0.3,2.681,1.023,0.973,0.0,1.154,0.0,0.0,1e-05,1e-05,0.533,0.0,1.538,0.0,1.794,0.571,2.667,3.623,1.676,1.248,0.0,8,D,0.94,1
124,Germán Andrés Gutiérrez,Independiente,1,-0.429,0.286,0.429,6.249,0.208,0.0,0.0,0.0,0.962,0.287,0.419,0.0,1.11,0.984,0.208,0.95,0.853,1.716,0.0,1.491,7.0,0.0,1e-05,1e-05,1.719,1.167,1.061,0.0,1.38,2.079,0.7,1.838,1.324,1.724,1e-05,7,D,0.866,1
125,Agustín Vuletich,Independiente,1,-0.824,0.176,0.588,28.253,0.424,0.322,0.0,0.235,1.707,0.904,0.424,0.0,2.438,1.072,0.696,0.546,0.588,0.588,0.0,1.295,1.333,1.143,0.0,1.333,1.349,1.467,1.0,1e-05,1.617,1.074,2.909,0.308,0.857,2.0,1e-05,4,A,0.592,1
126,Víctor Moreno,Independiente,1,-0.375,0.312,0.562,24.519,0.242,0.0,0.0,0.0,0.781,0.39,0.484,0.242,1.102,0.559,0.242,0.242,0.857,1.275,0.0,1.241,0.889,0.0,0.0,0.0,1.039,0.889,1.655,4.0,1.113,1.116,0.667,0.042,1.217,1.15,0.0,8,D,0.472,2
127,Jaen Pineda,Independiente,1,-0.533,0.2,0.533,14.731,0.0,0.249,0.0,0.0,0.854,0.4,0.442,0.249,1.123,0.884,0.0,1.482,0.943,1.5,0.0,1.559,0.0,1.7,0.0,0.0,2.045,1.214,1.36,4.25,2.46,1.201,0.0,1.367,2.378,3.073,1e-05,17,DM,0.524,2
128,Kevin Londoño,Independiente,1,-0.357,0.214,0.429,21.276,0.515,0.0,0.0,0.0,0.972,0.589,0.35,0.0,1.134,0.904,0.35,2.685,0.7,1.134,0.0,0.548,1.692,0.0,1e-05,1e-05,0.733,0.702,0.314,0.0,0.393,0.14,1.1,1.083,0.561,0.227,1e-05,11,M,0.322,4
129,James Sánchez,Independiente,1,0.441,0.5,0.294,31.286,0.167,0.232,0.0,0.0,1.108,0.464,0.42,0.0,0.833,0.796,0.167,1.241,0.897,0.8,0.167,1.186,0.923,1.714,1e-05,1e-05,1.026,0.923,0.8,0.0,0.963,0.841,0.0,0.85,1.576,1.012,6.0,12,M,0.088,4
130,Javier Reina,Independiente,1,0.091,0.333,0.364,29.036,0.359,0.477,0.287,0.287,1.275,0.46,0.239,0.0,1.167,1.359,0.359,2.373,0.657,0.74,0.0,1.477,2.333,4.455,6.0,4.667,1.775,1.197,0.5,0.0,1.234,1.351,1.373,2.757,0.955,1.424,1e-05,14,M,0.898,1
131,Yulián Gómez,Independiente,1,-0.676,0.189,0.514,14.136,0.162,0.162,0.0,0.0,0.752,0.273,0.488,0.162,1.061,0.904,0.638,2.178,1.138,1.086,0.0,1.908,0.957,1.048,0.0,0.0,0.948,0.688,1.375,3.143,1.28,1.938,4.475,3.644,1.939,1.578,1e-05,22,DM,0.499,2
132,Bayron Garces,Independiente,1,-0.483,0.172,0.379,14.521,0.345,0.378,0.0,0.0,1.019,0.773,0.253,0.0,1.03,1.103,0.558,2.899,0.81,0.447,0.0,2.088,3.238,6.538,1e-05,0.0,2.73,3.667,0.486,0.0,1.065,1.427,8.16,5.067,1.147,0.68,1e-05,17,M,0.46,2
133,Luis Hernando Mena,Independiente,1,-0.077,0.308,0.308,26.48,0.0,0.0,0.0,0.0,0.606,0.533,0.361,0.0,1.703,1.206,0.266,1.406,1.546,1.496,0.0,0.673,0.0,0.0,1e-05,1e-05,0.537,1.222,0.31,0.0,0.81,0.514,0.786,0.833,1.079,0.658,1e-05,11,D,0.422,3
134,Andrés Cadavid,Independiente,1,0.229,0.354,0.312,12.097,0.437,0.0,0.328,0.35,1.058,0.624,0.517,0.141,1.229,0.763,0.274,0.506,1.009,1.49,0.0,1.641,6.4,0.0,8.0,8.0,2.345,3.429,1.627,4.0,1.298,1.172,1.231,0.253,1.237,1.343,1e-05,8,D,0.456,1
135,Héctor Urrego,Independiente,1,0.35,0.4,0.35,29.07,0.457,0.287,0.0,0.0,0.723,0.516,0.49,0.208,0.824,0.71,0.49,0.0,0.833,1.634,0.0,0.934,5.0,1.667,1e-05,1e-05,0.778,1.5,0.87,1.429,0.766,0.633,1.538,0.0,0.625,0.794,1e-05,10,D,0.373,2
136,Diego Arias,Independiente,1,0.731,0.615,0.077,27.589,0.0,0.192,0.0,0.0,0.394,0.192,0.538,0.192,1.118,0.91,0.0,0.319,0.898,1.035,0.0,1.369,0.0,0.0,0.0,0.0,0.184,0.151,2.254,19.0,1.267,0.657,0.0,0.14,1.273,1.865,1e-05,19,M,0.373,2
137,Nicolás Palacios,Independiente,1,-0.429,0.333,0.429,28.495,0.208,0.0,0.208,0.208,0.657,0.419,0.492,0.208,1.231,1.23,0.49,0.0,1.437,1.593,0.0,1.065,0.92,0.0,7.667,5.75,0.786,1.018,2.908,4.6,1.463,1.359,1.38,0.0,2.266,0.859,0.0,23,DM,0.29,3
138,Didier Delgado,Independiente,1,0.42,0.46,0.36,27.186,0.297,0.357,0.0,0.0,1.535,0.625,0.456,0.0,0.882,1.391,0.571,1.745,1.053,1.209,0.0,1.514,2.88,3.13,1e-05,1e-05,3.355,2.227,2.694,0.0,1.101,2.037,2.034,2.439,1.791,1.728,0.0,24,DM,0.148,4
139,Luis Tipton,Independiente,1,-0.24,0.28,0.32,9.814,0.0,0.431,0.0,0.0,1.076,0.686,0.427,0.0,1.031,1.017,0.0,3.29,0.64,1.248,0.0,0.686,0.0,0.0,1e-05,1e-05,1.773,1.258,0.634,0.0,0.51,0.335,0.0,1.288,0.295,0.834,1e-05,13,D,0.406,3
140,Mauricio Armero,Independiente,1,-0.48,0.24,0.32,27.102,0.367,0.0,0.0,0.0,0.96,0.531,0.531,0.196,0.806,1.792,0.325,2.17,0.753,0.196,0.0,0.381,2.526,0.0,0.0,0.0,0.354,0.348,1.171,0.0,0.415,0.627,0.821,0.593,0.58,0.0,1e-05,16,M,0.089,4
141,Cristian Echavarría,Independiente,1,1.125,0.625,0.0,26.521,0.0,0.314,0.0,0.0,1.066,0.629,0.0,0.0,0.416,1.633,0.471,0.956,0.471,0.0,0.0,0.278,0.0,0.905,0.0,0.0,0.271,0.29,0.0,0.0,0.113,0.537,0.814,0.188,0.154,0.0,1e-05,19,AM,0.097,4
142,Andrés Ricaurte,Independiente,1,-0.275,0.325,0.45,8.418,0.156,0.4,0.0,0.156,1.308,0.663,0.38,0.0,0.894,2.231,0.156,2.393,1.012,1.403,0.0,2.557,0.765,6.118,0.0,4.333,2.651,2.633,1.82,0.0,1.825,5.302,0.317,4.295,2.29,3.038,1e-05,13,M,1.001,1
143,Jesús David Murillo Largacha,Independiente,1,-0.517,0.103,0.448,28.739,0.182,0.182,0.0,0.0,0.833,0.518,0.447,0.0,1.27,0.937,0.0,1.472,1.723,2.072,0.0,1.027,2.667,2.0,1e-05,1e-05,2.022,2.154,1.391,0.0,1.64,1.29,0.0,1.462,1.872,1.197,1e-05,8,D,0.963,1
144,Elvis Mosquera,Independiente,1,-0.429,0.257,0.514,6.344,0.232,0.0,0.0,0.0,0.873,0.539,0.35,0.0,0.937,0.841,0.28,1.604,0.731,1.582,0.0,2.501,4.8,0.0,1e-05,1e-05,3.211,4.0,1.154,0.0,1.959,2.077,3.6,4.719,1.357,2.083,0.0,12,D,0.75,1
145,Jorge Segura,Independiente,1,-0.5,0.25,0.5,26.127,0.0,0.0,0.0,0.0,0.433,0.331,0.484,0.0,1.118,0.484,0.0,0.0,0.707,3.112,0.0,0.518,0.0,0.0,1e-05,1e-05,0.338,0.5,0.692,0.0,0.735,0.346,0.0,0.0,0.286,0.727,0.0,12,D,0.452,1
146,Yulián Anchico,Independiente,1,-0.161,0.355,0.419,16.562,0.0,0.177,0.0,0.0,0.825,0.418,0.605,0.296,1.493,1.201,0.335,1.105,1.387,1.896,0.0,1.784,0.0,1.263,0.0,0.0,1.387,1.487,2.038,6.857,2.0,1.842,1.959,1.147,2.377,2.476,0.0,24,DM,0.543,2
147,William Parra Sinisterra,Independiente,1,-0.091,0.182,0.273,31.606,0.0,0.0,0.0,0.0,0.481,0.0,0.386,0.0,1.164,0.481,0.0,0.386,0.833,1.113,0.0,0.402,0.0,0.0,0.0,0.0,0.196,0.0,0.377,0.0,0.429,0.135,0.0,0.062,0.492,0.622,1e-05,13,M,0.269,3
148,Daniel Restrepo,Independiente,1,-0.6,0.2,0.6,27.827,0.0,0.3,0.0,0.0,0.781,0.3,0.5,0.0,0.917,0.64,0.0,0.4,1.136,1.187,0.0,0.655,0.0,1.357,0.0,0.0,0.417,0.184,1.439,0.0,0.764,0.139,0.0,0.067,1.03,0.619,1e-05,19,M,0.0,4
149,Brayan Angulo Mosquera,Independiente,1,0.077,0.333,0.333,27.1,0.218,0.218,0.156,0.156,0.937,0.527,0.263,0.0,0.979,0.947,0.218,2.777,0.519,0.474,0.0,1.29,0.929,2.0,1e-05,1e-05,1.362,1.721,0.639,0.0,1.097,1.018,0.65,2.488,0.562,0.44,1e-05,13,M,0.09,4
150,Rodin Quiñónes,Independiente,1,0.682,0.636,0.227,27.554,0.343,0.287,0.0,0.0,1.367,0.555,0.343,0.0,1.154,1.373,0.287,1.405,0.538,0.343,0.0,0.922,0.7,0.0,0.0,0.0,1.301,0.857,0.618,0.0,0.906,1.464,0.724,0.927,0.358,0.143,1e-05,21,M,0.089,4
151,Pablo José Rojas,Jaguares,1,0.1,0.35,0.2,22.139,0.213,0.213,0.0,0.0,1.218,0.563,0.35,0.0,1.18,1.137,0.294,1.759,0.642,0.728,0.0,1.418,0.542,0.929,0.0,0.0,1.512,1.058,0.975,0.0,1.641,1.981,0.703,2.122,1.67,1.375,1e-05,13,AM,0.928,1
152,Nelino Tapia,Jaguares,1,-0.441,0.265,0.559,25.12,0.284,0.235,0.0,0.0,1.187,0.559,0.322,0.169,0.807,1.329,0.403,4.434,0.776,1.0,0.0,1.303,1.0,4.5,1e-05,1e-05,1.103,0.614,0.711,3.0,0.738,1.387,0.265,4.127,0.692,1.116,1e-05,9,AM,0.504,2
