,Name,Team,Comp,avg_goal,w_percentage,l_percentage,Min_sd,Gls_sd,Ast_sd,PK_sd,PKatt_sd,Sh_sd,SoT_sd,CrdY_sd,CrdR_sd,Fls_sd,Fld_sd,Off_sd,Crs_sd,TklW_sd,Int_sd,OG_sd,Min_n,Gls_n,Ast_n,PK_n,PKatt_n,CrdY_n,CrdR_n,Sh_n,SoT_n,Fls_n,Fld_n,Off_n,Crs_n,Int_n,TklW_n,OG_n,competition,position,min_norm,group_min
18,Deiver Machado,Nacional,1,0.41,0.385,0.333,21.402,0.218,0.374,0.0,0.0,0.865,0.4,0.4,0.0,1.701,1.883,0.263,1.871,1.1,1.388,0.0,1.134,3.0,3.857,1e-05,1e-05,1.034,2.16,0.562,0.0,1.276,2.346,1.588,1.586,1.066,1.025,0.0,9,D,0.526,3
19,Reinaldo Lenis,Nacional,0,-0.417,0.292,0.458,24.365,0.276,0.439,0.0,0.0,0.898,0.498,0.373,0.0,1.213,0.943,0.276,1.579,1.0,0.702,0.0,0.618,0.837,2.077,0.0,0.0,0.553,0.629,0.931,0.0,0.612,0.934,0.277,0.707,0.837,0.549,1e-05,17,AM,0.304,4
20,Omar Duarte,Nacional,1,-0.128,0.319,0.404,24.534,0.624,0.141,0.141,0.198,1.155,0.786,0.303,0.141,1.326,1.44,0.633,1.512,0.998,0.732,0.0,1.453,2.0,0.882,0.0,2.5,1.75,1.95,1.176,0.0,1.917,1.464,2.5,1.54,1.927,1.021,1e-05,15,AM,0.276,4
21,Juan Pablo Ramírez,Nacional,1,-0.263,0.263,0.526,29.849,0.307,0.307,0.0,0.0,1.346,0.741,0.494,0.0,1.216,1.35,0.44,1.873,0.44,0.567,0.0,0.519,0.0,1.308,0.0,0.0,0.91,0.425,0.911,0.0,0.669,0.863,0.0,0.559,0.322,0.228,0.0,17,M,0.0,4
22,Carlos Rivas,Nacional,0,-0.767,0.233,0.467,28.624,0.373,0.249,0.0,0.0,1.648,0.706,0.3,0.0,1.224,1.269,1.025,2.773,0.605,0.847,0.0,1.204,0.968,0.75,1e-05,0.0,1.744,1.2,1.385,0.0,1.529,1.049,1.826,2.548,0.717,1.418,1e-05,6,A,0.0,4
23,Daniel Giraldo,Millonarios,1,0.46,0.44,0.22,8.467,0.325,0.14,0.0,0.0,1.109,0.668,0.52,0.14,1.302,1.238,0.361,0.755,0.865,0.811,0.0,2.001,2.444,0.647,0.0,0.0,1.532,1.93,1.333,0.0,2.078,1.515,1.1,0.328,2.268,1.932,1e-05,11,M,0.433,3
24,Harrison Mojica,Millonarios,1,-0.4,0.2,0.467,6.465,0.499,0.4,0.0,0.0,1.147,0.718,0.442,0.0,0.611,1.526,0.499,2.294,0.442,0.4,0.0,1.522,1.692,3.3,1e-05,1e-05,2.366,1.692,1.128,1e-05,0.596,1.634,0.815,4.45,0.458,0.355,0.0,11,M,0.345,3
25,Andrés Murillo,Millonarios,1,0.476,0.476,0.238,13.357,0.0,0.294,0.0,0.0,0.563,0.0,0.294,0.0,0.639,0.794,0.213,0.393,1.019,1.191,0.0,1.317,0.0,4.667,1e-05,1e-05,0.913,0.0,0.5,0.0,0.721,1.25,2.333,0.202,1.615,1.697,1e-05,7,D,0.253,3
26,Juan Pablo Vargas,Millonarios,1,0.143,0.381,0.381,27.579,0.0,0.0,0.0,0.0,0.642,0.426,0.547,0.213,1.327,0.653,0.213,0.294,1.777,1.39,0.0,0.843,0.0,0.0,0.0,0.0,0.787,0.783,0.9,3.0,0.843,0.61,1.125,0.083,1.099,1.094,0.0,9,D,1.0,1
27,Elvis Perlaza,Millonarios,1,0.3,0.367,0.267,14.066,0.296,0.335,0.0,0.0,0.666,0.447,0.532,0.177,1.423,1.502,0.0,3.034,1.298,1.062,0.0,1.828,4.125,5.5,1e-05,1e-05,2.047,1.897,1.964,11.0,2.101,3.066,0.0,6.417,1.944,1.078,0.0,11,D,0.961,1
28,Juan Carlos Pereira,Millonarios,1,-0.463,0.268,0.463,28.437,0.327,0.26,0.154,0.154,1.593,0.552,0.26,0.0,1.081,0.834,0.537,1.034,1.143,1.228,0.0,1.642,3.25,2.438,13.0,13.0,1.955,1.88,0.534,0.0,1.233,0.826,1.936,0.87,1.934,2.217,1e-05,13,M,0.62,2
29,Ricardo Márquez,Millonarios,1,-0.412,0.265,0.471,18.764,0.674,0.235,0.322,0.322,2.082,1.187,0.468,0.169,1.337,1.679,1.313,0.559,0.543,0.452,0.0,1.744,3.056,1.0,5.0,5.0,2.37,2.652,1.719,2.5,1.731,1.51,3.5,0.288,0.87,1.0,1e-05,5,A,0.344,4
30,Felipe Jaramillo,Millonarios,1,-0.611,0.083,0.583,16.391,0.0,0.164,0.0,0.0,1.08,0.448,0.487,0.0,1.343,1.09,0.164,0.346,1.064,1.586,0.0,2.087,0.0,0.867,0.0,0.0,1.793,1.548,3.569,0.0,2.657,1.535,0.542,0.281,3.421,3.552,1e-05,13,M,0.984,1
31,Luis Payares,Millonarios,1,0.812,0.625,0.188,18.746,0.235,0.235,0.0,0.0,0.847,0.429,0.354,0.0,1.234,1.19,0.284,0.235,1.182,1.567,0.0,1.252,1.6,2.0,1e-05,1e-05,1.552,1.778,0.727,0.0,1.204,1.203,2.4,0.078,0.972,1.103,1e-05,8,D,0.886,1
32,Hansel Zapata,Millonarios,1,0.143,0.375,0.304,29.418,0.424,0.424,0.0,0.0,1.339,0.819,0.307,0.131,0.93,1.244,0.614,3.064,0.679,0.365,0.0,1.297,3.25,4.789,0.0,0.0,1.768,1.5,0.83,4.333,0.483,0.966,3.421,3.323,0.622,0.37,1e-05,13,M,0.491,2
33,Deivy Balanta,Millonarios,1,0.105,0.316,0.263,23.625,0.0,0.0,0.0,0.0,0.477,0.0,0.218,0.0,1.043,0.669,0.0,0.218,0.698,1.497,0.218,0.878,0.0,0.0,1e-05,1e-05,0.559,0.0,0.0,0.0,0.545,0.652,0.0,0.067,0.529,1.366,11.0,11,D,0.289,3
34,José Luis Moreno Peña,Millonarios,1,-0.375,0.375,0.5,27.308,0.0,0.0,0.0,0.0,0.781,0.331,0.484,0.331,0.661,0.433,0.0,0.0,0.5,0.992,0.0,0.34,0.0,0.0,0.0,0.0,0.759,0.393,0.75,3.667,0.368,0.07,0.0,0.0,0.291,0.279,1e-05,11,D,0.117,4
35,César Carrillo,Millonarios,1,0.095,0.357,0.286,11.512,0.373,0.294,0.0,0.0,1.352,0.764,0.491,0.152,1.269,1.354,0.213,0.575,1.022,1.166,0.0,2.383,2.6,2.6,0.0,0.0,2.6,2.321,2.889,4.333,3.33,2.438,0.473,0.447,3.041,3.586,1e-05,13,M,0.58,2
36,Roberto Ovelar,Millonarios,1,0.465,0.488,0.279,25.034,0.419,0.208,0.149,0.208,1.963,0.95,0.343,0.0,1.268,1.79,0.657,0.783,0.748,0.538,0.0,2.242,1.939,0.889,0.0,2.667,2.326,1.859,2.0,1e-05,2.043,3.016,1.625,0.639,2.847,1.951,1e-05,8,A,0.457,2
37,Christian Marrugo,Millonarios,1,0.102,0.407,0.373,15.747,0.36,0.36,0.129,0.181,0.739,0.431,0.36,0.0,1.257,0.844,0.129,2.143,0.997,0.592,0.0,1.159,2.195,1.667,3.0,4.286,0.711,1.007,0.6,0.0,0.89,0.509,0.254,1.563,1.0,0.267,1e-05,15,M,0.307,3
38,Oscar Barreto,Millonarios,0,0.0,0.462,0.385,23.57,0.192,0.0,0.0,0.0,1.001,0.631,0.361,0.0,0.971,1.044,0.361,0.762,0.631,0.887,0.0,0.487,0.485,1.455,0.0,0.0,0.646,0.252,1.032,0.0,0.668,0.714,0.195,0.914,0.488,0.222,1e-05,16,AM,0.0,4
39,Santiago Montoya,Millonarios,1,0.133,0.4,0.333,26.158,0.4,0.3,0.0,0.0,1.726,0.718,0.373,0.18,1.155,1.309,0.249,3.268,0.663,0.476,0.0,1.282,3.103,1.731,0.0,0.0,2.361,2.188,1.091,3.0,1.261,2.179,0.789,2.845,0.593,0.352,1e-05,15,M,0.145,4
40,Jeison Angulo,Tolima,1,0.1,0.4,0.3,32.382,0.0,0.0,0.0,0.0,0.0,0.0,0.663,0.3,1.118,0.3,0.458,1.2,1.0,0.748,0.0,0.821,0.0,0.0,1e-05,1e-05,0.0,0.0,1.524,8.0,1.071,0.116,2.4,0.8,1.013,0.571,0.0,8,D,0.882,1
41,Harold Gómez,Tolima,1,0.172,0.379,0.207,31.288,0.0,0.246,0.0,0.0,0.904,0.296,0.296,0.0,0.99,0.698,0.0,3.307,1.184,1.059,0.177,0.843,0.0,1.133,0.0,0.0,0.371,0.205,0.773,0.0,1.004,0.497,0.0,2.535,1.288,1.532,17.0,17,DM,0.289,4
42,Yohandry Orozco,Tolima,1,0.833,0.5,0.167,25.48,0.0,0.0,0.0,0.0,0.5,0.471,0.0,0.0,0.373,0.471,0.0,2.749,0.5,0.373,0.0,0.393,0.0,0.0,0.0,0.0,0.627,0.386,0.0,0.0,0.061,0.132,0.0,0.903,0.34,0.149,1e-05,11,M,0.278,4
43,José Guillermo Ortiz,Tolima,1,-0.062,0.375,0.375,31.152,0.242,0.0,0.0,0.0,2.083,0.864,0.0,0.0,0.609,0.609,0.696,0.583,0.331,0.0,0.0,0.569,0.217,0.0,0.0,0.0,0.677,0.645,0.0,0.0,0.242,0.429,0.441,0.233,0.417,0.0,1e-05,5,A,0.201,4
44,Eduar Caicedo,Tolima,1,0.25,0.469,0.188,31.158,0.0,0.169,0.0,0.0,0.697,0.284,0.284,0.0,1.079,0.936,0.0,0.235,0.849,1.479,0.0,1.006,0.0,1.333,1e-05,1e-05,0.848,0.5,0.696,0.0,0.945,0.897,0.0,0.103,0.8,1.015,0.0,8,D,0.181,4
45,Daniel Moreno,Tolima,1,-0.062,0.375,0.375,29.08,0.0,0.242,0.0,0.0,0.768,0.331,0.331,0.0,1.031,0.992,0.331,2.128,0.791,0.433,0.0,0.418,0.0,0.0,1e-05,1e-05,0.395,0.231,0.0,0.0,0.296,0.688,0.48,0.85,0.242,0.145,0.0,12,M,0.0,4
46,Andrey Estupiñán,Tolima,1,0.256,0.372,0.302,14.521,0.366,0.208,0.208,0.208,1.808,0.908,0.492,0.0,1.579,2.427,0.979,1.184,1.278,0.722,0.0,3.039,3.636,2.286,6.857,6.857,4.824,5.007,4.042,0.0,4.922,5.912,8.229,2.372,3.649,1.714,1e-05,24,AM,0.74,1
47,Juan David Ríos,Tolima,1,0.023,0.318,0.273,3.111,0.0,0.149,0.0,0.0,1.031,0.343,0.456,0.149,1.418,1.873,0.0,1.069,1.138,0.814,0.0,2.492,0.0,1.625,0.0,0.0,1.625,1.099,1.4,4.333,2.522,2.683,0.0,1.048,3.733,2.289,1e-05,13,M,0.716,2
