,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10,Brayan Rovira,Nacional,1,0.077,0.462,0.359,1,11.037,0.334,0.303,0.0,0.0,1.171,0.53,0.384,0.0,1.148,0.961,0.158,0.552,0.911,1.535,0.0,0.0,0.0,2.552,2.167,2.261,0.0,0.0,2.03,1.521,1.82,0.0,2.717,1.815,0.0,0.369,3.079,4.817,0.0,0,0,13,['MF'],0.79,1
11,Hernán Barcos,Nacional,0,0.35,0.525,0.275,0,24.408,0.51,0.156,0.263,0.3,1.005,0.648,0.357,0.0,1.072,0.487,0.494,0.441,0.678,0.436,0.0,0.0,0.0,0.973,0.429,1.2,0.0,1.2,0.773,1.019,0.5,1e-05,0.779,0.403,0.45,0.419,1.167,0.828,1e-05,0,0,6,['FW'],0.75,1
12,Sebastián Gómez,Nacional,1,-0.605,0.079,0.579,1,5.323,0.45,0.16,0.223,0.223,1.076,0.575,0.388,0.0,1.413,1.107,0.16,0.408,1.063,1.249,0.0,0.0,0.0,2.441,5.056,0.867,8.667,8.667,1.893,2.012,1.784,0.0,1.898,1.74,0.542,0.45,2.965,3.836,1e-05,0,0,13,['MF'],0.601,1
13,Jarlan Barrera,Nacional,1,0.306,0.408,0.306,1,26.331,0.414,0.444,0.0,0.194,1.779,1.071,0.411,0.139,1.125,1.39,0.456,2.719,0.637,0.668,0.0,0.0,0.0,1.691,2.233,2.581,0.0,0.0,3.394,3.474,2.56,0.0,1.418,2.298,2.75,4.478,1.478,1.698,1e-05,0,0,16,"['MF', 'FW']",0.47,2
14,Daniel Muñoz,Nacional,1,-0.278,0.315,0.37,1,9.455,0.26,0.345,0.0,0.0,0.863,0.521,0.436,0.134,1.461,1.329,0.345,1.218,1.351,1.962,0.0,0.0,0.0,1.839,4.714,2.75,1e-05,1e-05,1.701,2.129,2.146,0.0,2.391,2.734,3.0,2.573,3.083,2.179,0.0,0,0,11,['DF'],0.436,2
15,Baldomero Perlaza,Nacional,1,0.242,0.288,0.288,1,26.171,0.235,0.169,0.0,0.0,0.803,0.393,0.365,0.12,1.322,1.139,0.169,0.304,1.252,1.232,0.0,0.0,0.0,2.202,0.727,0.842,1e-05,1e-05,1.449,1.185,0.914,4.0,2.076,1.66,0.0,0.099,2.636,2.798,1e-05,0,0,16,['MF'],0.344,2
16,Vladimir Hernández,Nacional,0,0.095,0.381,0.333,0,28.404,0.213,0.0,0.0,0.0,1.039,0.499,0.213,0.0,0.663,1.815,0.213,1.32,0.393,0.642,0.0,0.0,0.0,0.519,0.667,0.0,1e-05,1e-05,0.721,0.81,0.286,0.0,0.321,0.86,0.41,0.537,0.185,0.287,0.0,0,0,16,['MF'],0.705,2
17,Deiver Machado,Nacional,1,0.41,0.385,0.333,1,21.402,0.218,0.374,0.0,0.0,0.865,0.4,0.4,0.0,1.701,1.883,0.263,1.871,1.1,1.388,0.0,0.0,0.0,1.134,3.0,3.857,1e-05,1e-05,1.034,2.16,0.562,0.0,1.276,2.346,1.588,1.586,1.066,1.025,0.0,0,0,9,['DF'],0.526,3
18,Reinaldo Lenis,Nacional,0,-0.417,0.292,0.458,0,24.365,0.276,0.439,0.0,0.0,0.898,0.498,0.373,0.0,1.213,0.943,0.276,1.579,1.0,0.702,0.0,0.0,0.0,0.618,0.837,2.077,0.0,0.0,0.553,0.629,0.931,0.0,0.612,0.934,0.277,0.707,0.837,0.549,1e-05,0,0,17,"['MF', 'FW']",0.304,4
19,Omar Duarte,Nacional,1,-0.128,0.319,0.404,1,24.534,0.624,0.141,0.141,0.198,1.155,0.786,0.303,0.141,1.326,1.44,0.633,1.512,0.998,0.732,0.0,0.0,0.0,1.453,2.0,0.882,0.0,2.5,1.75,1.95,1.176,0.0,1.917,1.464,2.5,1.54,1.927,1.021,1e-05,0,0,15,"['FW', 'MF']",0.276,4
20,Juan Pablo Ramírez,Nacional,1,-0.263,0.263,0.526,1,29.849,0.307,0.307,0.0,0.0,1.346,0.741,0.494,0.0,1.216,1.35,0.44,1.873,0.44,0.567,0.0,0.0,0.0,0.519,0.0,1.308,0.0,0.0,0.91,0.425,0.911,0.0,0.669,0.863,0.0,0.559,0.322,0.228,0.0,0,0,17,['MF'],0.0,4
21,Carlos Rivas,Nacional,0,-0.767,0.233,0.467,0,28.624,0.373,0.249,0.0,0.0,1.648,0.706,0.3,0.0,1.224,1.269,1.025,2.773,0.605,0.847,0.0,0.0,0.0,1.204,0.968,0.75,1e-05,0.0,1.744,1.2,1.385,0.0,1.529,1.049,1.826,2.548,0.717,1.418,1e-05,0,0,6,['FW'],0.0,4
