,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
16,Luis Tipton,Independiente,1,-0.24,0.28,0.32,1,9.814,0.0,0.431,0.0,0.0,1.076,0.686,0.427,0.0,1.031,1.017,0.0,3.29,0.64,1.248,0.0,0.0,0.0,0.686,0.0,0.0,1e-05,1e-05,1.773,1.258,0.634,0.0,0.51,0.335,0.0,1.288,0.295,0.834,1e-05,0,0,13,['DF'],0.406,3
17,Mauricio Armero,Independiente,1,-0.48,0.24,0.32,1,27.102,0.367,0.0,0.0,0.0,0.96,0.531,0.531,0.196,0.806,1.792,0.325,2.17,0.753,0.196,0.0,0.0,0.0,0.381,2.526,0.0,0.0,0.0,0.354,0.348,1.171,0.0,0.415,0.627,0.821,0.593,0.58,0.0,1e-05,0,0,16,['MF'],0.089,4
18,Cristian Echavarría,Independiente,1,1.125,0.625,0.0,1,26.521,0.0,0.314,0.0,0.0,1.066,0.629,0.0,0.0,0.416,1.633,0.471,0.956,0.471,0.0,0.0,0.0,0.0,0.278,0.0,0.905,0.0,0.0,0.271,0.29,0.0,0.0,0.113,0.537,0.814,0.188,0.154,0.0,1e-05,0,0,19,"['MF', 'FW']",0.097,4
19,Andrés Ricaurte,Independiente,1,-0.275,0.325,0.45,1,8.418,0.156,0.4,0.0,0.156,1.308,0.663,0.38,0.0,0.894,2.231,0.156,2.393,1.012,1.403,0.0,0.0,0.0,2.557,0.765,6.118,0.0,4.333,2.651,2.633,1.82,0.0,1.825,5.302,0.317,4.295,2.29,3.038,1e-05,0,0,13,['MF'],1.001,1
20,Jesús David Murillo Largacha,Independiente,1,-0.517,0.103,0.448,1,28.739,0.182,0.182,0.0,0.0,0.833,0.518,0.447,0.0,1.27,0.937,0.0,1.472,1.723,2.072,0.0,0.0,0.0,1.027,2.667,2.0,1e-05,1e-05,2.022,2.154,1.391,0.0,1.64,1.29,0.0,1.462,1.872,1.197,1e-05,0,0,8,['DF'],0.963,1
21,Elvis Mosquera,Independiente,1,-0.429,0.257,0.514,1,6.344,0.232,0.0,0.0,0.0,0.873,0.539,0.35,0.0,0.937,0.841,0.28,1.604,0.731,1.582,0.0,0.0,0.0,2.501,4.8,0.0,1e-05,1e-05,3.211,4.0,1.154,0.0,1.959,2.077,3.6,4.719,1.357,2.083,0.0,0,0,12,['DF'],0.75,1
22,Jorge Segura,Independiente,1,-0.5,0.25,0.5,1,26.127,0.0,0.0,0.0,0.0,0.433,0.331,0.484,0.0,1.118,0.484,0.0,0.0,0.707,3.112,0.0,0.0,0.0,0.518,0.0,0.0,1e-05,1e-05,0.338,0.5,0.692,0.0,0.735,0.346,0.0,0.0,0.286,0.727,0.0,0,0,12,['DF'],0.452,1
23,Yulián Anchico,Independiente,1,-0.161,0.355,0.419,1,16.562,0.0,0.177,0.0,0.0,0.825,0.418,0.605,0.296,1.493,1.201,0.335,1.105,1.387,1.896,0.0,0.0,0.0,1.784,0.0,1.263,0.0,0.0,1.387,1.487,2.038,6.857,2.0,1.842,1.959,1.147,2.377,2.476,0.0,0,0,24,"['MF', 'DF']",0.543,2
24,William Parra Sinisterra,Independiente,1,-0.091,0.182,0.273,1,31.606,0.0,0.0,0.0,0.0,0.481,0.0,0.386,0.0,1.164,0.481,0.0,0.386,0.833,1.113,0.0,0.0,0.0,0.402,0.0,0.0,0.0,0.0,0.196,0.0,0.377,0.0,0.429,0.135,0.0,0.062,0.492,0.622,1e-05,0,0,13,['MF'],0.269,3
25,Daniel Restrepo,Independiente,1,-0.6,0.2,0.6,1,27.827,0.0,0.3,0.0,0.0,0.781,0.3,0.5,0.0,0.917,0.64,0.0,0.4,1.136,1.187,0.0,0.0,0.0,0.655,0.0,1.357,0.0,0.0,0.417,0.184,1.439,0.0,0.764,0.139,0.0,0.067,1.03,0.619,1e-05,0,0,19,['MF'],0.0,4
26,Brayan Angulo Mosquera,Independiente,1,0.077,0.333,0.333,1,27.1,0.218,0.218,0.156,0.156,0.937,0.527,0.263,0.0,0.979,0.947,0.218,2.777,0.519,0.474,0.0,0.0,0.0,1.29,0.929,2.0,1e-05,1e-05,1.362,1.721,0.639,0.0,1.097,1.018,0.65,2.488,0.562,0.44,1e-05,0,0,13,['MF'],0.09,4
27,Rodin Quiñónes,Independiente,1,0.682,0.636,0.227,1,27.554,0.343,0.287,0.0,0.0,1.367,0.555,0.343,0.0,1.154,1.373,0.287,1.405,0.538,0.343,0.0,0.0,0.0,0.922,0.7,0.0,0.0,0.0,1.301,0.857,0.618,0.0,0.906,1.464,0.724,0.927,0.358,0.143,1e-05,0,0,21,['MF'],0.089,4
