,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Jáder Maza,Envigado,1,-1.5,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.314,0.667,0.0,0.0,0.0,0.231,0.348,0.0,1e-05,0.389,0.043,0.387,0.61,0.378,0.414,1e-05,0,0,12,['MF'],0.855,1
1,Jonathan Lopera,Envigado,1,-0.118,0.235,0.412,1,32.31,0.229,0.0,0.0,0.0,0.756,0.448,0.591,0.229,0.711,0.762,0.229,0.373,0.685,1.462,0.0,0.0,0.0,0.957,2.0,0.0,1e-05,1e-05,1.443,2.0,2.545,4.0,1.0,0.549,1.0,0.13,0.719,1.518,1e-05,0,0,8,['DF'],0.558,1
2,Jean Lucas Rivera,Envigado,1,-0.091,0.182,0.273,1,29.768,0.0,0.0,0.0,0.0,0.782,0.445,0.287,0.0,1.336,1.24,0.0,1.725,0.782,0.445,0.0,0.0,0.0,0.282,0.0,0.0,0.0,0.0,0.251,0.286,0.295,0.0,0.424,0.412,0.0,0.276,0.359,0.213,1e-05,0,0,18,['MF'],0.485,2
3,Oswal Álvarez,Envigado,1,-0.778,0.0,0.444,1,15.179,0.0,0.0,0.0,0.0,0.416,0.0,0.0,0.0,0.685,0.816,0.314,0.0,0.314,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.45,0.489,0.0,0.0,0.37,0.126,0.153,0.252,0.087,0.184,1e-05,0,0,9,['FW'],0.178,3
4,Jhoaho Hinestroza,Envigado,1,-0.667,0.0,0.667,1,23.367,0.0,0.0,0.0,0.0,0.471,0.0,0.0,0.0,0.471,0.816,0.471,0.816,0.0,0.471,0.0,0.0,0.0,0.269,0.0,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.266,0.041,0.0,0.064,0.117,0.276,1e-05,0,0,14,['MF'],0.145,4
5,Wilmar Jordán,Envigado,1,-0.667,0.167,0.542,1,26.207,0.538,0.373,0.276,0.276,1.579,1.027,0.276,0.0,1.224,1.675,0.455,0.331,0.373,0.439,0.0,0.0,0.0,0.596,1.929,1.636,0.0,0.0,0.725,0.808,0.0,0.0,0.9,0.72,0.529,0.089,0.409,0.269,1e-05,0,0,9,['FW'],0.254,4
6,Wilfrido de la Rosa Mendoza,Envigado,1,0.143,0.429,0.357,1,30.517,0.821,0.0,0.0,0.0,1.245,0.906,0.35,0.0,1.206,1.319,0.61,0.795,0.258,0.0,0.0,0.0,0.0,0.487,1.371,0.0,0.0,0.0,0.478,0.675,0.8,0.0,0.76,0.55,1.212,0.158,0.116,0.0,1e-05,0,0,8,['FW'],0.839,1
7,Alexis Zapata,Envigado,1,0.5,0.375,0.125,1,28.089,0.0,0.0,0.0,0.0,1.09,0.707,0.331,0.0,1.323,0.992,0.0,0.484,0.484,0.696,0.0,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.285,0.322,0.222,0.0,0.255,0.157,0.0,0.115,0.135,0.161,1e-05,0,0,12,['MF'],0.144,4
