,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
22,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-09-20,Mon,Primera A,Finalización regular season,Home,W 3–0,Alianza,Boyacá Patriot,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
23,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-09-24,Fri,Primera A,Finalización regular season,Away,D 1–1,Alianza,Once Caldas,Y,GK,90,10,1,9,90.0,0,0,0,0,0,Match Report
24,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-10-03,Sun,Primera A,Finalización regular season,Home,D 1–1,Alianza,Jaguares,Y,GK,90,0,1,0,,0,1,1,0,0,Match Report
25,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-10-08,Fri,Primera A,Finalización regular season,Away,L 0–1,Alianza,Rionegro,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
26,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-10-17,Sun,Primera A,Finalización regular season,Home,W 2–0,Alianza,CA Bucaramanga,Y,GK,90,6,0,6,100.0,1,0,0,0,0,Match Report
27,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-10-22,Fri,Primera A,Finalización regular season,Away,L 0–1,Alianza,Deportes Quindío,Y,GK,90,7,1,7,100.0,0,1,1,0,0,Match Report
28,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-10-31,Sun,Primera A,Finalización regular season,Away,D 1–1,Alianza,CD América,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
29,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-11-06,Sat,Primera A,Finalización regular season,Home,W 1–0,Alianza,Atlético Huila,Y,GK,90,7,0,7,100.0,1,0,0,0,0,Match Report
30,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-11-14,Sun,Primera A,Finalización regular season,Away,D 1–1,Alianza,Millonarios,Y,GK,90,5,1,5,100.0,0,1,1,0,0,Match Report
31,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-11-21,Sun,Primera A,Finalización regular season,Home,D 1–1,Alianza,Junior,Y,GK,90,8,1,7,87.5,0,0,0,0,0,Match Report
32,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-11-28,Sun,Primera A,Semi-finals,Home,L 1–4,Alianza,Tolima,Y,GK,90,5,4,1,20.0,0,0,0,0,0,Match Report
33,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-12-02,Thu,Primera A,Semi-finals,Away,L 0–3,Alianza,Millonarios,Y,GK,90,10,3,7,70.0,0,0,0,0,0,Match Report
34,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-12-05,Sun,Primera A,Semi-finals,Home,W 2–1,Alianza,CD América,Y,GK,90,3,1,3,100.0,0,1,1,0,0,Match Report
35,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-12-09,Thu,Primera A,Semi-finals,Away,L 1–2,Alianza,CD América,Y,GK,90,9,2,7,77.8,0,0,0,0,0,Match Report
36,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-12-12,Sun,Primera A,Semi-finals,Home,L 0–1,Alianza,Millonarios,Y,GK,90,10,1,9,90.0,0,0,0,0,0,Match Report
37,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-12-16,Thu,Primera A,Semi-finals,Away,D 2–2,Alianza,Tolima,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
38,José Luis Chunga,Alianza,https://www.fbref.com//en/squads/b281fa3b/2020/s10076/Junior-Stats-Categoria-Primera-A,2020-10-04,Sun,Primera A,First stage,Away,D 0–0,Junior,Boyacá Patriot,Y*,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
39,Pier Graziani,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-03-09,Tue,Primera A,Apertura regular season,Home,L 0–2,Alianza,Millonarios,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report
40,Pier Graziani,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-03-13,Sat,Primera A,Apertura regular season,Away,L 0–1,Alianza,Pasto,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
41,Pier Graziani,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-03-25,Thu,Primera A,Apertura regular season,Away,D 1–1,Alianza,La Equidad,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
42,Pier Graziani,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-03-28,Sun,Primera A,Apertura regular season,Home,L 0–2,Alianza,CD América,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
43,Pier Graziani,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-04-01,Thu,Primera A,Apertura regular season,Away,L 0–2,Alianza,Boyacá Chicó,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
44,Pier Graziani,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2021/s10991/Alianza-Stats-Categoria-Primera-A,2021-10-26,Tue,Primera A,Finalización regular season,Home,W 3–0,Alianza,Independiente,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
45,Pier Graziani,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-10-19,Mon,Primera A,First stage,Home,L 0–1,Alianza,Rionegro,Y,GK,90,1,1,1,100.0,0,1,1,0,0,Match Report
46,Pier Graziani,Alianza,https://www.fbref.com//en/squads/ffc8a1d6/2020/s10076/Alianza-Stats-Categoria-Primera-A,2020-10-25,Sun,Primera A,First stage,Away,D 3–3,Alianza,Envigado,Y,GK,90,3,3,0,0.0,0,0,0,0,0,Match Report
