,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
22,Carlos Bejarano,Rionegro,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-02-03,Mon,Primera A,First stage,Home,W 1–0,Rionegro,Santa Fe,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
23,Carlos Bejarano,Rionegro,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-02-10,Mon,Primera A,First stage,Away,D 1–1,Rionegro,Once Caldas,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
24,Carlos Bejarano,Rionegro,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-02-14,Fri,Primera A,First stage,Home,D 1–1,Rionegro,Tolima,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
25,Carlos Bejarano,Rionegro,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-02-23,Sun,Primera A,First stage,Away,L 0–2,Rionegro,CA Bucaramanga,Y,GK,90,11,2,9,81.8,0,0,0,0,0,Match Report
26,Carlos Bejarano,Rionegro,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-03-01,Sun,Primera A,First stage,Home,D 1–1,Rionegro,Envigado,Y*,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
27,Carlos Bejarano,Rionegro,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-03-08,Sun,Primera A,First stage,Away,D 2–2,Rionegro,Envigado,Y*,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
28,Carlos Bejarano,Rionegro,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-09-20,Sun,Primera A,First stage,Away,L 1–2,Rionegro,Junior,Y*,GK,90,5,2,4,80.0,0,1,1,0,0,Match Report
29,Carlos Bejarano,Rionegro,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-09-29,Tue,Primera A,First stage,Home,D 1–1,Rionegro,Pasto,Y*,GK,90,1,1,1,0.0,0,2,0,1,1,Match Report
30,Carlos Bejarano,Rionegro,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-10-04,Sun,Primera A,First stage,Away,L 1–3,Rionegro,CD América,Y,GK,90,5,3,2,40.0,0,0,0,0,0,Match Report
31,Carlos Bejarano,Rionegro,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-10-08,Thu,Primera A,First stage,Home,W 3–0,Rionegro,Boyacá Patriot,Y*,GK,90,0,0,0,,1,0,0,0,0,Match Report
32,Carlos Bejarano,Rionegro,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-10-11,Sun,Primera A,First stage,Away,D 0–0,Rionegro,Millonarios,Y*,GK,90,2,0,1,100.0,1,0,0,0,0,Match Report
33,Carlos Bejarano,Rionegro,https://www.fbref.com//en/squads/6466f662/2020/s10076/Rionegro-Stats-Categoria-Primera-A,2020-10-15,Thu,Primera A,First stage,Home,L 2–3,Rionegro,Nacional,Y*,GK,90,4,3,2,50.0,0,1,1,0,0,Match Report
