,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
31,Christian Vargas,CA Bucaramanga,2019-09-28,Sat,Primera A,Regular season,Home,L 2–3,CA Bucaramanga,Envigado,Y,GK,90,7,3,4,57.1,0,0,0,0,0,Match Report
32,Christian Vargas,CA Bucaramanga,2019-10-03,Thu,Primera A,Regular season,Away,L 0–2,CA Bucaramanga,Santa Fe,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report
33,Christian Vargas,CA Bucaramanga,2019-10-06,Sun,Primera A,Regular season,Home,D 2–2,CA Bucaramanga,Independiente,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
34,Christian Vargas,CA Bucaramanga,2019-10-10,Thu,Primera A,Regular season,Away,L 0–3,CA Bucaramanga,Once Caldas,Y,GK,90,4,3,1,25.0,0,0,0,0,0,Match Report
35,Christian Vargas,CA Bucaramanga,2019-10-14,Mon,Primera A,Regular season,Away,W 2–1,CA Bucaramanga,Huila,Y,GK,90,5,1,4,80.0,0,1,0,0,1,Match Report
36,Christian Vargas,CA Bucaramanga,2019-10-18,Fri,Primera A,Regular season,Home,W 4–0,CA Bucaramanga,Jaguares,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
37,Christian Vargas,CA Bucaramanga,2019-10-24,Thu,Primera A,Regular season,Away,W 2–1,CA Bucaramanga,ADU Magdalena,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
38,Christian Vargas,CA Bucaramanga,2019-10-29,Tue,Primera A,Regular season,Home,D 2–2,CA Bucaramanga,La Equidad,Y,,90,2,2,0,0.0,0,0,0,0,0,Match Report
39,Nelson Fernando Ramos,CA Bucaramanga,2019-03-02,Sat,Primera A,Apertura Regular Season,Home,L 0–1,CA Bucaramanga,Boyacá Patriot,N,,45,3,0,3,100.0,0,0,0,0,0,Match Report
40,Nelson Fernando Ramos,CA Bucaramanga,2019-03-09,Sat,Primera A,Apertura Regular Season,Away,D 0–0,CA Bucaramanga,Junior,Y,GK,90,6,0,6,100.0,1,0,0,0,0,Match Report
41,Nelson Fernando Ramos,CA Bucaramanga,2019-03-17,Sun,Primera A,Apertura Regular Season,Home,W 1–0,CA Bucaramanga,Cúcuta,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
42,Nelson Fernando Ramos,CA Bucaramanga,2019-03-25,Mon,Primera A,Apertura Regular Season,Away,D 1–1,CA Bucaramanga,Rionegro,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
43,Nelson Fernando Ramos,CA Bucaramanga,2019-03-30,Sat,Primera A,Apertura Regular Season,Home,D 0–0,CA Bucaramanga,CD América,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
44,Nelson Fernando Ramos,CA Bucaramanga,2019-04-03,Wed,Primera A,Apertura Regular Season,Away,W 2–1,CA Bucaramanga,Envigado,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
45,Nelson Fernando Ramos,CA Bucaramanga,2019-04-07,Sun,Primera A,Apertura Regular Season,Home,W 2–1,CA Bucaramanga,Santa Fe,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
46,Nelson Fernando Ramos,CA Bucaramanga,2019-04-13,Sat,Primera A,Apertura Regular Season,Away,L 0–4,CA Bucaramanga,Independiente,Y,GK,90,7,4,3,42.9,0,0,0,0,0,Match Report
47,Nelson Fernando Ramos,CA Bucaramanga,2019-04-16,Tue,Primera A,Apertura Regular Season,Home,D 1–1,CA Bucaramanga,Once Caldas,Y,GK,90,10,1,9,90.0,0,0,0,0,0,Match Report
48,Nelson Fernando Ramos,CA Bucaramanga,2019-04-22,Mon,Primera A,Apertura Regular Season,Home,L 2–4,CA Bucaramanga,Huila,Y,GK,90,5,4,2,40.0,0,1,1,0,0,Match Report
49,Nelson Fernando Ramos,CA Bucaramanga,2019-04-28,Sun,Primera A,Apertura Regular Season,Away,D 1–1,CA Bucaramanga,Jaguares,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
50,Nelson Fernando Ramos,CA Bucaramanga,2019-05-02,Thu,Primera A,Apertura Regular Season,Home,L 0–1,CA Bucaramanga,ADU Magdalena,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report
51,Nelson Fernando Ramos,CA Bucaramanga,2019-05-05,Sun,Primera A,Apertura Regular Season,Away,L 1–3,CA Bucaramanga,La Equidad,Y,GK,90,4,3,2,50.0,0,1,1,0,0,Match Report
52,Luis Ojeda,CA Bucaramanga,2018-02-04,Sun,Primera A,Apertura Regular Season,Away,L 0–1,CA Bucaramanga,Junior,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
53,Luis Ojeda,CA Bucaramanga,2018-02-11,Sun,Primera A,Apertura Regular Season,Home,L 1–2,CA Bucaramanga,Once Caldas,Y,GK,90,8,2,6,75.0,0,0,0,0,0,Match Report
54,Luis Ojeda,CA Bucaramanga,2018-02-15,Thu,Primera A,Apertura Regular Season,Away,D 0–0,CA Bucaramanga,La Equidad,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
55,Luis Ojeda,CA Bucaramanga,2018-02-18,Sun,Primera A,Apertura Regular Season,Home,D 2–2,CA Bucaramanga,Leones FC,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
