,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
22,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/7701ed02/2020/s10093/Deportivo-Tachira-Stats-Liga-FUTVE,2020-11-13,Fri,Liga FUTVE,Group stage,Away,W 1–0,Dep Táchira,Portuguesa,Y,,90,,0,,,1,0,0,0,0,Match Report
23,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/7701ed02/2020/s10093/Deportivo-Tachira-Stats-Liga-FUTVE,2020-11-16,Mon,Liga FUTVE,Group stage,Home,D 0–0,Dep Táchira,Gran Valencia Maracay,Y,,90,,0,,,1,0,0,0,0,Match Report
24,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/7701ed02/2020/s10093/Deportivo-Tachira-Stats-Liga-FUTVE,2020-11-19,Thu,Liga FUTVE,Group stage,Home,W 3–2,Dep Táchira,Monagas,Y,,90,,2,,,0,1,1,0,0,Match Report
25,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/7701ed02/2020/s10093/Deportivo-Tachira-Stats-Liga-FUTVE,2020-11-22,Sun,Liga FUTVE,Group stage,Away,W 3–0,Dep Táchira,Metropolitanos,Y,,90,,0,,,1,0,0,0,0,Match Report
26,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/7701ed02/2020/s10093/Deportivo-Tachira-Stats-Liga-FUTVE,2020-11-26,Thu,Liga FUTVE,Group stage,Home,L 0–3,Dep Táchira,Zamora,Y,,90,,3,,,0,0,0,0,0,Match Report
27,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/7701ed02/2020/s10093/Deportivo-Tachira-Stats-Liga-FUTVE,2020-11-29,Sun,Liga FUTVE,Group stage,Away,D 0–0,Dep Táchira,Caracas,Y,,90,,0,,,1,0,0,0,0,Match Report
28,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/7701ed02/2020/s10093/Deportivo-Tachira-Stats-Liga-FUTVE,2020-12-04,Fri,Liga FUTVE,Group stage,Home,D 1–1,Dep Táchira,Aragua,Y,,90,,1,,,0,1,1,0,0,Match Report
29,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/7701ed02/2020/s10093/Deportivo-Tachira-Stats-Liga-FUTVE,2020-12-08,Tue,Liga FUTVE,Group stage,Home,W 3–0,Dep Táchira,Portuguesa,Y,,90,,0,,,1,0,0,0,0,Match Report
30,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/7701ed02/2020/s10093/Deportivo-Tachira-Stats-Liga-FUTVE,2020-12-11,Fri,Liga FUTVE,Group stage,Away,W 3–0,Dep Táchira,Gran Valencia Maracay,Y,,90,,0,,,1,0,0,0,0,Match Report
31,José Contreras Verna,Pasto,https://www.fbref.com//en/squads/7701ed02/2020/s10093/Deportivo-Tachira-Stats-Liga-FUTVE,2020-12-15,Tue,Liga FUTVE,Serie Final,Away,L 0–2,Dep Táchira,Dep La Guaira,Y,,90,,2,,,0,0,0,0,0,Match Report
32,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-01-26,Sun,Primera A,First stage,Away,W 2–1,Pasto,Millonarios,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
33,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-02-03,Mon,Primera A,First stage,Away,W 1–0,Pasto,Alianza,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
34,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-02-16,Sun,Primera A,First stage,Away,D 0–0,Pasto,Cúcuta,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
35,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-03-10,Tue,Primera A,First stage,Away,D 1–1,Pasto,La Equidad,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
36,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-09-20,Sun,Primera A,First stage,Home,W 2–0,Pasto,Jaguares,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
37,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-09-29,Tue,Primera A,First stage,Away,D 1–1,Pasto,Rionegro,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
38,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-10-03,Sat,Primera A,First stage,Home,W 2–1,Pasto,Boyacá Chicó,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
39,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-10-07,Wed,Primera A,First stage,Away,W 1–0,Pasto,Junior,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
