,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
26,Homer Martínez,CA Bucaramanga,2020-02-07,Fri,Primera A,First stage,Away,L 0–4,CA Bucaramanga,Pasto,Y,DM,90,0,0,0,0,3,2,1,0,4,0,0,0,2,1,0,,,Match Report
27,Homer Martínez,CA Bucaramanga,2020-02-16,Sun,Primera A,First stage,Away,L 0–4,CA Bucaramanga,Envigado,Y,DM,45,0,0,0,0,1,0,0,0,2,1,0,0,1,1,0,,,Match Report
28,Homer Martínez,CA Bucaramanga,2020-02-23,Sun,Primera A,First stage,Home,W 2–0,CA Bucaramanga,Rionegro,Y,CB,90,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,,,Match Report
29,Homer Martínez,CA Bucaramanga,2020-03-01,Sun,Primera A,First stage,Away,W 1–0,CA Bucaramanga,Cúcuta,Y,CB,90,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,,,Match Report
30,Homer Martínez,CA Bucaramanga,2020-03-07,Sat,Primera A,First stage,Home,D 1–1,CA Bucaramanga,Junior,Y,CB,90,0,0,0,0,1,1,0,0,3,0,0,0,3,0,0,,,Match Report
31,Homer Martínez,CA Bucaramanga,2020-09-20,Sun,Primera A,First stage,Away,L 1–2,CA Bucaramanga,CD América,Y,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,,,Match Report
32,Homer Martínez,CA Bucaramanga,2020-09-26,Sat,Primera A,First stage,Home,D 1–1,CA Bucaramanga,Boyacá Patriot,Y,CB,90,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,,,Match Report
33,Homer Martínez,CA Bucaramanga,2020-10-02,Fri,Primera A,First stage,Away,D 0–0,CA Bucaramanga,Millonarios,Y,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,2,5,0,,,Match Report
34,Homer Martínez,CA Bucaramanga,2020-10-06,Tue,Primera A,First stage,Home,L 1–2,CA Bucaramanga,Nacional,Y,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,,,Match Report
35,Homer Martínez,CA Bucaramanga,2020-10-12,Mon,Primera A,First stage,Away,W 2–1,CA Bucaramanga,Alianza,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,,Match Report
36,Homer Martínez,CA Bucaramanga,2020-10-15,Thu,Primera A,First stage,Home,W 1–0,CA Bucaramanga,Pereira,Y,CB,82,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,,,Match Report
37,Homer Martínez,CA Bucaramanga,2020-10-26,Mon,Primera A,First stage,Home,W 1–0,CA Bucaramanga,Cúcuta,Y,CB,90,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,,Match Report
38,Homer Martínez,CA Bucaramanga,2020-11-02,Mon,Primera A,First stage,Away,L 0–1,CA Bucaramanga,Boyacá Chicó,Y,CM,90,0,0,0,0,2,0,0,0,1,1,0,0,1,2,0,,,Match Report
39,Homer Martínez,CA Bucaramanga,2020-11-07,Sat,Primera A,First stage,Home,D 2–2,CA Bucaramanga,Jaguares,Y,CB,90,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,,,Match Report
40,Homer Martínez,CA Bucaramanga,2020-11-10,Tue,Primera A,First stage,Away,L 0–1,CA Bucaramanga,Independiente,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,,,Match Report
41,Homer Martínez,CA Bucaramanga,2020-11-14,Sat,Primera A,First stage,Home,L 1–2,CA Bucaramanga,Santa Fe,Y,CB,90,0,0,0,0,0,0,0,0,2,1,1,0,0,4,0,,,Match Report
42,Homer Martínez,CA Bucaramanga,2020-11-26,Thu,Primera A,Liguilla,Home,W 3–2,CA Bucaramanga,Alianza,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,,Match Report
43,Diego Herazo,CA Bucaramanga,2020-01-25,Sat,Primera A,First stage,Home,L 0–2,CA Bucaramanga,AD Cali,N,,45,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,,,Match Report
44,Diego Herazo,CA Bucaramanga,2020-01-28,Tue,Primera A,First stage,Away,D 1–1,CA Bucaramanga,Once Caldas,N,,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Match Report
45,Diego Herazo,CA Bucaramanga,2020-02-01,Sat,Primera A,First stage,Home,D 0–0,CA Bucaramanga,Tolima,Y,FW,45,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,,,Match Report
